"","STATE","BASS","COBIA","DRUM","FLOUNDER","ATLANTIC SALMON","PACIFIC SALMON","STURGEON","CRABS","LOBSTER","SHRIMP","ABALONE","CLAMS","MUSSELS","OYSTERS","SCALLOPS","SEA VEGETABLES"
"1","1",2.45,1.5,1.48,2.74,3.59,2.55,1.7,3.54,4.54,4.29,1.74,4.03,3.63,3.38,4.14,1.97
"2","2",2.53,1.61,1.62,3.04,3.6,2.9,1.77,3.33,4.17,4.2,1.84,3.86,3.59,3.43,3.97,1.94
"3","3",2.66,1.69,1.73,3.24,3.55,3.03,1.79,3.43,4.08,4.16,1.86,3.76,3.5,3.48,3.88,2.04
"4","4",3.06,1.75,1.84,3.28,3.61,3.02,1.83,3.73,4.28,4.27,1.78,4.07,3.84,3.8,3.99,2.03
"5","5",2.97,1.81,1.81,3.64,3.88,3.25,1.94,3.79,4.16,4.43,1.94,4.03,3.76,3.75,4.12,2.03
"6","6",2.61,2.03,2.1,3.18,3.4,3.35,2.19,3.42,3.69,4.14,2.16,3.39,3.23,3.07,3.44,2.33
"7","7",2.67,1.88,1.8,3.76,3.61,3.18,1.96,3.57,3.78,4.29,1.92,3.5,3.35,3.21,3.68,2.09
"8","8",2.76,1.84,1.83,3.79,3.64,3.24,1.94,4.1,3.77,4.37,1.92,3.65,3.45,3.52,3.67,2.04
"9","9",2.89,1.97,2.07,3.47,3.52,3.12,2.03,4.1,3.65,4.05,2.16,3.38,3.28,3.54,3.5,2.34
"10","10",2.46,1.95,1.95,3.37,3.34,3.1,1.9,3.57,3.48,4.03,1.94,3.01,2.81,3.12,3.1,2.04
"11","11",2.26,1.68,1.78,3.59,3.2,2.98,1.72,3.34,3.22,4.15,1.71,2.87,2.52,3.06,3.16,1.84
"12","12",2.33,1.85,1.91,3.72,3.3,2.99,1.72,3.65,3.62,4.17,1.67,3.02,2.8,3.44,3.31,1.8
"13","13",2.38,1.75,1.81,3.03,3.27,3.12,1.83,3.51,3.49,4.2,1.76,2.68,2.52,2.92,3.12,1.91
"14","14",2.48,2.13,2.18,3.12,3.35,3.15,2.07,3.62,3.69,4.1,2,3.07,2.98,3.17,3.31,2.23
"15","15",2.71,1.73,1.76,3.19,3.61,3.01,1.87,3.54,4.15,4.25,1.88,3.86,3.59,3.48,3.92,2.06
"16","16",2.7,1.91,1.91,3.6,3.53,3.16,1.96,3.83,3.67,4.19,1.99,3.38,3.22,3.35,3.49,2.13
"17","17",2.36,1.85,1.92,3.37,3.28,3.06,1.84,3.53,3.5,4.16,1.79,2.91,2.7,3.15,3.22,1.95
