STATE,STRIPED BASS,COBIA,FLOUNDER,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTER,SHRIMP,ABALONE,CLAMS,MUSSELS,SCALLOPS,SEA VEGETABLES
1,14,6,21,34,25,6,35,56,51,6,33,22,38,8
2,21,8,29,42,36,7,37,58,57,7,39,28,42,9
3,101,48,149,203,204,42,199,256,281,36,183,124,224,56
4,20,6,23,29,26,6,33,44,48,6,29,21,33,7
5,51,19,80,108,99,16,101,157,166,20,94,80,112,20
6,391,177,599,816,751,154,821,1057,1246,149,630,453,644,156
7,140,58,256,314,296,53,329,407,496,52,229,181,257,66
8,15,4,31,38,33,4,38,41,53,4,21,17,30,6
9,130,56,177,209,213,46,276,310,358,64,157,131,188,67
10,159,59,252,273,263,56,354,369,462,55,206,147,237,64
11,163,54,316,319,307,47,310,399,530,50,192,157,270,68
12,104,49,194,171,161,37,214,227,287,41,121,88,137,48
13,180,89,257,353,337,57,402,475,559,75,194,152,236,83
14,341,177,503,656,644,146,752,938,1053,158,404,332,531,181
15,594,262,900,1231,1142,229,1228,1630,1856,223,1008,728,1094,254
16,442,177,717,835,807,159,997,1130,1371,175,613,478,713,204
17,790,369,1267,1500,1449,286,1679,2043,2431,324,911,729,1173,379
18,1826,808,2884,3569,3400,675,3904,4807,5660,724,2536,1936,2984,838
