STATE,SEA VEGETABLES,OTHER.MOLLUSKS,OYSTERS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTERS,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,HALIBUT,FLOUNDER,COBIA,STRIPED BASS
1,10.78,6.23,37.62,76.09,43.42,71.74,6,13,84.27,85.7,63.28,28.24,2.75,7.13,38.61,63.07,57.78,44.52,4.83,26.01
2,12.25,6.83,31.79,74.78,49.48,63.4,7.34,12.11,84.65,77,49.91,29.64,5.91,4.88,44.69,66.07,51.82,53.32,5.01,33.03
3,8.87,4.83,34.82,70.19,49.47,64.36,5.82,11.63,81.2,69.75,50.77,31.1,4.13,4.57,45.17,62.37,50.06,54.56,4.17,31.22
4,11.18,9.41,40.68,71.36,49.17,71.7,5.72,13.43,87.32,73.98,56.7,29.09,7,2.5,42.02,54.16,50.18,51.16,2.38,37.79
5,13.9,7.79,40.94,69.78,48.58,68.79,6.15,12.71,87.96,70.75,56,28.2,4.06,4.87,53.47,65.44,50.74,57.21,5.24,32.36
6,14.87,4.92,34.1,50.96,37.86,49.25,7.93,10.8,82.42,63.18,58.71,18.58,10.84,7.2,51.21,57.42,38.99,54.56,7.47,37.43
7,13.44,6.41,28.09,61.76,40.09,50.98,6.78,13.05,86.29,69.07,63.97,19.47,8.4,8.35,44.49,56.35,41.83,75.97,6.05,33.98
8,8.93,2.87,37.54,62.73,40.3,54.82,5.38,13.31,84.96,63.81,75.85,31.98,8.02,2.45,49.31,62.74,39.49,69.57,4.35,34.45
9,14.92,2.93,45.35,54.35,39.88,40.95,5.81,15.71,84.77,61.03,78.34,21.11,9.62,7.68,57.23,58.94,41.68,60.9,5.62,37.71
10,11.83,5.68,43.69,52.71,33.31,46.12,4.57,9.94,86.7,57.11,64.51,21.42,6.64,4.98,52.33,54.82,39.21,68.1,6.66,32.07
11,11.01,4.45,49.33,59.45,30.04,44.57,5.49,12.64,87.85,59.7,67.95,24.13,10.42,5.17,50.77,54.73,42.24,76.94,6.38,29.16
12,9.54,3.54,50.34,54.11,33.41,41.6,8.09,8.43,90.02,63.71,72.27,19.39,11,3.33,55,54.83,37.02,81.23,8.9,29.39
13,11.76,1.82,37.61,44.44,26.93,35.86,6.79,7.72,89.46,59.88,62.87,17.54,7.04,4.26,48.44,49.77,39.61,60.09,4.61,25.32
14,12.33,4.38,36.05,50.93,31.92,34.84,9.06,10.73,81.47,61.18,62.24,23.82,11.54,6.84,53.09,45.16,34.69,54.12,12.97,23.6
15,13.18,5.48,35.23,59.45,42.4,56.56,7.14,11.4,83.1,67.1,56.58,23.28,8.13,6.18,49.19,59.74,44.09,54.29,6.2,35.02
16,13.11,5.16,38.07,56.85,37.79,46.9,5.74,12.65,85.98,62.77,68.39,21.03,8.08,6.81,50.62,56.78,40.82,69.16,6.07,34.34
17,11.61,3.74,40.86,51.73,30.57,37.94,7.67,10.24,85.55,60.85,64.72,22.03,10.25,5.53,51.76,49.32,37.68,63.39,9.24,25.83
18,12.48,4.66,38.33,55.48,36.17,46.19,7.05,11.19,84.84,63.37,62.88,22.22,9.03,6.04,50.65,54.51,40.54,61.71,7.5,30.85
