STATE,SEA VEGETABLES,OTHER.MOLLUSKS,OYSTERS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTERS,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,FLOUNDER,COBIA,STRIPED BASS
1,3.87,3.01,3.97,4.45,3.85,4.24,3.71,3.34,4.51,4.51,4.22,3.82,3.01,3.79,4.02,3.97,3.88,3.4,3.72
2,3.29,2.98,3.61,4.43,3.98,4.1,3.19,3.27,4.36,4.33,3.85,3.56,2.98,2.77,3.94,3.83,3.68,2.82,3.55
3,3.41,3.4,4,4.41,4.01,4.31,3.04,3.75,4.45,4.38,4.07,3.6,3.4,2.56,3.92,3.95,3.79,3.59,3.56
4,3.54,3.2,4.05,4.32,3.96,4.11,3.78,3.2,4.44,4.39,4.06,3.56,3.2,3.01,4.11,4.03,3.85,3.38,3.65
5,2.91,3.27,3.99,4.27,4.31,4.19,3.39,3.37,4.48,4.43,4.19,3.62,3.27,3.13,4.21,4.13,3.94,3.91,3.95
6,3.39,2.96,3.66,3.95,3.83,3.98,3.64,3.6,4.43,4.3,4.19,3.8,2.96,3.54,4.04,4.02,3.75,3.84,3.63
7,3.6,3.62,4.1,4.2,3.97,4.06,3.96,3.52,4.46,4.2,4.3,3.61,3.62,4.13,4.17,4.06,4.04,3.83,3.71
8,3.25,3.11,3.86,3.98,3.75,3.93,4.15,3.21,4.53,4.04,4.36,3.37,3.11,2.58,4.17,4.06,3.99,3.2,3.49
9,3.8,3.22,4.04,3.96,3.91,3.95,4,3.68,4.47,4.05,4.46,3.51,3.22,3.63,4.08,4,3.85,3.13,3.82
10,3.63,3.39,3.79,4.13,3.8,3.96,3.25,3.8,4.5,4.18,4.46,3.66,3.39,3.62,4.2,4.08,4,3.13,3.69
11,3.89,3.67,3.82,4.12,3.69,3.79,3.23,3.69,4.52,4.14,4.27,3.9,3.67,3.64,4.16,4.13,4.23,3.52,3.73
12,3.32,3.75,4.14,4.15,3.98,4.09,3.62,3.68,4.69,4.43,4.41,3.62,3.75,3.89,4.15,4.1,4.2,3.43,3.71
13,2.99,3.61,4.03,4.11,3.79,3.88,3.68,3.12,4.48,4.29,4.25,3.75,3.61,4.22,4.24,4.1,3.8,4.2,3.78
14,3.55,3.58,3.95,4.2,3.8,3.93,3.62,3.71,4.5,4.38,4.32,3.75,3.58,3.41,4.23,4.12,3.9,3.17,3.62
15,3.35,3.03,3.79,4.17,3.94,4.11,3.5,3.56,4.44,4.35,4.15,3.7,3.03,3.34,4.03,4.01,3.78,3.76,3.65
16,3.66,3.42,3.95,4.11,3.89,4,3.79,3.63,4.48,4.15,4.4,3.59,3.42,3.83,4.15,4.05,3.98,3.38,3.73
17,3.48,3.62,3.96,4.16,3.8,3.9,3.57,3.61,4.52,4.32,4.3,3.78,3.62,3.62,4.21,4.11,4.01,3.37,3.69
18,3.48,3.4,3.91,4.15,3.88,4.01,3.59,3.6,4.49,4.29,4.28,3.71,3.4,3.58,4.14,4.06,3.94,3.48,3.69
