STATE,SEA VEGETABLES,OTHER.MOLLUSKS,OYSTERS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTERS,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,HALIBUT,FLOUNDER,COBIA,STRIPED BASS
1,4.91,3.19,22.59,49.3,20.62,37.78,2.57,4.86,62.08,64.93,34.99,17.58,2.97,2.84,23.53,35.91,22.84,17.24,2.3,9.27
2,7.24,4.41,22.28,59.35,25.81,43.38,4.13,7.18,83.8,74.1,42.87,19.43,4.01,4.47,36.35,48.37,23.3,26.64,3.86,11
3,8.74,5.01,34.44,63.33,27.77,53.22,4.59,6.4,83.91,80.01,40.2,23.01,5.62,5.17,38.12,54.43,20.55,31.62,5.09,15.28
4,7.98,5.59,29.24,51.24,26.09,43.27,5.72,5.93,91.51,71.61,46.95,17.44,4.98,4.67,29.69,42.17,22.48,30.27,4.64,13.6
5,4.38,3.41,24.09,47.09,27.09,45.6,3.35,3.89,95.96,70.48,40.4,17.73,3.14,2.8,38.05,48.79,17.22,27.85,3.07,13.15
6,10.69,6.4,36.4,53.27,29.12,49.21,6.57,9.07,107.62,93.52,59.99,23.32,6.59,5.79,49.98,57.2,24.44,42.94,5.29,17.74
7,9.64,5.6,27.34,48.47,27.02,37.32,6.01,8.47,100.41,73.19,61.33,17.25,5.73,5.33,42.43,51.14,20.26,44.62,5.19,16.86
8,6.8,3.77,26.77,50.02,19.31,31.75,4.36,6.5,108.56,72.84,74.96,17.28,3.01,3.37,49.08,52.33,18.02,41.56,3.67,14.08
9,11.19,7.42,45.1,52.53,32.65,45.59,6.5,8.63,105.05,80.66,82.4,25.05,8.23,7.07,48.24,53,25.68,42.78,5.63,20.47
10,5.71,4.65,28.71,36.5,17.76,25.79,4.29,5.43,89.05,65.19,56.07,18.67,4.14,4.06,43.11,47.26,21.28,38.69,3.78,15.42
11,5.88,3.68,28.22,38.43,16.67,26.62,3.35,5.59,90.89,58.68,54.57,15.47,4.62,3.53,37.92,39.42,15.44,48.71,3.3,12.47
12,8.79,6.74,32.75,47.46,21.41,36.05,6.23,8.98,117.24,80.51,73,27.07,8,6.15,44.75,63.94,22.42,65.38,7.15,15.59
13,6.28,5.14,29.74,40.87,18.36,25.37,4.59,5.73,101.24,62.22,54.05,17.22,4.81,3.83,48.53,51.47,17.86,32.23,4.33,11.46
14,7.78,5.11,31.11,43.13,19.62,28.21,4.54,6.69,95.01,72.27,55.65,20.46,6.13,4.08,46.91,52.64,23.15,38.55,5.55,16.83
15,9.04,5.49,33.24,54.63,27.99,48.73,5.46,7.51,98.18,85.66,51.53,22.02,5.64,5.07,43.75,53.92,22.6,36.72,4.75,15.86
16,8.58,5.64,32.28,45.55,24.9,35.35,5.47,7.39,98.15,72.42,65.43,19.71,5.67,5.24,44.37,50.31,21.89,42.01,4.75,17.17
17,7.14,4.97,30.34,42.09,18.87,28.14,4.46,6.48,97.98,67.98,57.03,19.39,5.69,4.12,45,50.72,20.19,42.5,4.93,14.53
18,8.1,5.29,31.76,46.97,23.23,36.51,5.02,7.03,98.09,74.83,57.15,20.32,5.67,4.7,44.44,51.67,21.36,40.45,4.83,15.57
