STATE,C_F,C_C,C_M,C_S,P_F,P_C,P_M,P_S,A_F,A_C,A_M,A_S,R_F,R_C,R_M,R_S,S_F,S_C,S_M,S_S,B_F,B_C,B_M,B_S
1,34.56,77.75,49.31,10.78,3.80,4.41,4.06,3.87,2.42,4.12,3.39,1.97,16.28,54.00,27.57,4.91,25.01,75.50,41.00,5.07,32.99,87.63,46.02,14.01
2,36.97,70.52,48.75,12.25,3.43,4.18,3.93,3.29,2.58,3.90,3.32,1.94,22.00,66.92,33.17,7.24,28.97,72.44,35.37,5.90,45.15,96.39,55.20,17.17
3,36.02,67.24,47.46,8.87,3.56,4.30,3.94,3.41,2.66,3.89,3.25,2.04,24.32,68.04,37.23,8.74,32.71,79.53,38.79,7.74,47.76,94.09,54.38,21.47
4,34.31,72.67,49.49,11.18,3.67,4.30,4.04,3.54,2.76,4.09,3.42,2.03,21.07,70.02,31.58,7.98,30.82,79.21,38.03,7.13,44.63,101.75,53.88,16.40
5,38.48,71.57,48.33,13.90,3.88,4.37,4.04,2.91,2.92,4.13,3.46,2.03,21.56,68.95,30.78,4.38,32.81,81.52,37.53,4.71,45.73,104.14,56.56,14.61
6,36.33,68.10,36.50,14.87,3.80,4.31,3.85,3.39,2.79,3.75,3.06,2.33,29.05,87.04,34.54,10.69,40.59,92.55,36.63,8.75,65.90,142.52,64.22,21.33
7,38.15,73.11,39.90,13.44,3.99,4.32,4.05,3.60,2.84,3.88,3.11,2.09,26.55,78.31,29.71,9.64,35.40,84.29,32.05,7.64,57.81,127.64,55.73,20.48
8,37.48,74.87,40.81,8.93,3.58,4.31,3.95,3.25,2.87,4.08,3.17,2.04,26.02,85.45,26.36,6.80,40.80,93.89,32.25,4.83,58.02,123.07,50.27,15.41
9,38.54,74.71,35.25,14.92,3.75,4.33,3.96,3.80,2.83,3.93,3.08,2.34,28.98,89.37,34.32,11.19,43.06,108.64,36.09,11.31,62.74,142.42,61.15,30.38
10,36.88,69.44,34.18,11.83,3.79,4.38,3.79,3.63,2.69,3.69,2.72,2.04,24.80,70.10,21.09,5.71,32.58,75.93,28.34,7.67,56.76,126.61,51.76,20.63
11,37.91,71.83,34.89,11.01,3.90,4.31,3.71,3.89,2.57,3.57,2.57,1.84,22.97,68.05,21.27,5.88,27.68,64.79,22.64,5.65,50.80,104.48,42.28,17.31
12,38.53,75.33,34.30,9.54,3.91,4.51,3.96,3.32,2.65,3.81,2.70,1.80,32.20,90.25,27.79,8.79,35.39,93.55,32.33,7.43,62.70,127.40,50.68,24.95
13,33.16,70.74,28.51,11.76,4.06,4.34,3.87,2.99,2.56,3.73,2.52,1.91,24.24,72.50,22.30,6.28,32.39,84.20,27.39,7.00,56.71,127.83,43.83,22.04
14,32.92,68.30,31.69,12.33,3.74,4.40,3.89,3.55,2.72,3.80,2.84,2.23,26.82,74.31,23.88,7.78,36.32,89.15,27.86,6.64,53.45,118.90,46.31,23.47
15,36.39,68.93,41.39,13.18,3.76,4.31,3.93,3.35,2.75,3.85,3.17,2.20,26.10,78.46,34.20,9.04,36.63,86.74,37.32,7.70,56.99,123.30,59.89,19.96
16,37.80,72.38,36.82,13.11,3.85,4.34,3.95,3.66,2.79,3.84,2.98,2.14,26.53,78.67,27.82,8.58,36.63,88.05,31.79,8.41,58.70,130.94,55.60,22.89
17,34.68,70.37,31.98,11.61,3.84,4.38,3.86,3.48,2.64,3.74,2.69,2.03,26.00,74.33,23.39,7.14,33.41,83.20,27.10,6.58,54.55,118.59,45.35,21.92
18,35.97,70.36,36.22,12.48,3.82,4.35,3.91,3.48,2.72,3.80,2.92,2.11,26.15,76.69,27.93,8.10,35.21,85.43,31.49,7.37,56.32,123.01,52.51,21.51
