"","STATE","BASS","COBIA","DRUM","FLOUNDER","HALIBUT","ATLANTIC SALMON","PACIFIC SALMON","STURGEON","CRABS","LOBSTER","SHRIMP","ABALONE","CLAMS","MUSSELS","OYSTERS","SCALLOPS","SEA VEGETABLES"
"1","1",3.72,3.4,3.12,3.88,3.87,3.97,4.02,3.79,4.22,4.51,4.51,3.71,4.24,3.85,3.98,4.45,3.87
"2","2",3.55,2.82,3.04,3.68,3.87,3.83,3.94,2.77,3.85,4.33,4.36,3.19,4.1,3.98,3.61,4.43,3.29
"3","3",3.56,3.59,3.36,3.79,3.7,3.95,3.92,2.56,4.07,4.38,4.45,3.04,4.31,4.01,4.02,4.41,3.41
"4","4",3.65,3.38,3.11,3.85,3.68,4.03,4.11,3.01,4.06,4.39,4.44,3.78,4.11,3.96,4.04,4.32,3.54
"5","5",3.95,3.91,3.27,3.94,4,4.13,4.21,3.13,4.19,4.43,4.48,3.39,4.19,4.31,4.06,4.27,2.91
"6","6",3.63,3.84,2.99,3.75,3.81,4.02,4.04,3.54,4.19,4.3,4.43,3.64,3.98,3.83,3.66,3.95,3.39
"7","7",3.71,3.83,3.7,4.04,3.66,4.06,4.17,4.13,4.3,4.2,4.46,3.96,4.06,3.97,4.1,4.2,3.6
"8","8",3.49,3.2,3.11,3.99,3.66,4.06,4.17,2.58,4.36,4.04,4.53,4.15,3.93,3.75,3.87,3.98,3.25
"9","9",3.82,3.13,3.15,3.85,3.62,4,4.08,3.63,4.46,4.05,4.47,4,3.95,3.91,4.04,3.96,3.8
"10","10",3.69,3.13,3.54,4,3.8,4.08,4.2,3.62,4.46,4.18,4.5,3.25,3.96,3.8,3.82,4.13,3.63
"11","11",3.73,3.52,3.68,4.23,3.78,4.13,4.16,3.64,4.27,4.14,4.52,3.23,3.79,3.69,3.87,4.12,3.89
"12","12",3.71,3.43,3.75,4.2,3.9,4.1,4.15,3.89,4.41,4.43,4.69,3.62,4.09,3.98,4.15,4.15,3.32
"13","13",3.78,4.2,3.62,3.8,3.69,4.1,4.24,4.22,4.25,4.29,4.48,3.68,3.88,3.79,4.03,4.11,2.99
"14","14",3.62,3.17,3.67,3.9,3.84,4.12,4.23,3.41,4.32,4.38,4.5,3.62,3.93,3.8,3.94,4.2,3.55
"15","15",3.68,3.49,3.15,3.82,3.82,3.99,4.04,3.13,4.1,4.39,4.45,3.46,4.16,3.99,3.9,4.31,3.4
"16","16",3.68,3.32,3.38,3.97,3.68,4.05,4.15,3.49,4.4,4.12,4.49,3.84,3.98,3.86,3.96,4.07,3.57
"17","17",3.71,3.58,3.68,4.03,3.8,4.11,4.19,3.79,4.31,4.31,4.55,3.54,3.92,3.81,4,4.15,3.44
