STATE,BASS,COBIA,FLOUNDER,HALIBUT,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTERS,SHRIMP,ABALONE,CLAMS,MUSSELS,SCALLOPS,SEA VEGETABLES
1,9.38,2.36,18.11,20.20,35.56,23.99,2.82,32.07,66.31,60.12,2.96,34.65,18.37,43.40,4.29
2,11.84,3.47,22.78,20.21,44.94,37.37,3.68,41.68,70.93,79.83,3.38,43.37,23.19,55.32,7.23
3,15.54,4.79,29.37,19.55,47.22,38.88,4.97,39.61,74.69,80.13,4.47,49.29,25.09,56.23,8.83
4,13.46,4.28,27.32,21.69,42.92,33.04,4.26,42.02,67.06,78.77,5.48,40.12,23.59,48.52,8.35
5,13.17,3.21,30.81,19.50,43.33,38.59,2.84,45.08,65.76,85.27,3.36,39.85,20.70,48.59,4.75
6,18.02,5.70,40.86,22.93,58.52,51.80,5.79,61.43,88.24,103.31,6.16,48.56,29.51,50.00,10.99
7,15.34,4.79,45.06,20.43,51.22,42.54,4.50,60.92,71.13,98.77,5.16,37.58,27.47,48.63,8.94
8,12.55,3.47,41.73,18.28,48.61,40.93,3.15,68.58,61.71,100.41,3.72,30.09,18.56,41.73,6.47
9,16.61,4.47,37.72,20.98,49.29,46.20,5.64,88.32,70.08,98.87,5.54,37.59,25.39,48.75,9.44
10,14.67,4.96,36.22,21.95,46.98,41.26,3.96,60.37,61.05,86.82,4.80,27.51,20.08,39.15,7.55
11,12.56,4.08,45.80,14.80,37.13,36.84,3.97,55.17,58.78,89.50,3.85,25.62,16.75,36.64,7.61
12,12.31,4.97,50.45,16.13,52.21,38.43,3.91,62.97,64.17,107.18,4.94,26.06,17.10,40.93,7.14
13,12.10,4.85,32.09,16.94,49.01,43.48,3.91,54.32,57.76,95.89,4.17,24.30,17.20,36.71,8.13
14,16.40,5.94,36.87,22.37,49.58,45.02,4.51,57.33,68.95,90.86,5.15,27.62,21.21,41.23,8.99
15,13.57,3.97,28.21,20.68,45.41,37.28,4.06,43.65,72.17,81.24,4.30,42.64,23.41,50.35,7.40
16,14.79,4.42,40.18,20.41,49.02,42.73,4.31,69.54,65.99,96.22,4.80,33.19,22.87,44.57,8.10
17,13.34,4.96,41.30,17.56,46.98,40.94,4.07,57.45,62.41,95.86,4.53,25.90,18.06,38.88,7.97
