STATE,BASS,COBIA,FLOUNDER,HALIBUT,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTERS,SHRIMP,ABALONE,CLAMS,MUSSELS,SCALLOPS,SEA VEGETABLES
1,11.51,3.22,27.92,29.35,55.17,33.92,3.63,42.42,86.39,82.36,3.75,38.73,20.06,50.42,4.91
2,15.94,5.01,32.77,28.56,56.86,42.03,4.21,39.86,80.49,87.47,4.62,33.32,19.18,49.34,5.59
3,19.25,4.47,37.90,28.94,64.25,51.69,4.70,48.17,78.38,96.29,4.96,35.28,18.26,49.29,7.75
4,20.52,5.06,44.60,26.63,57.63,43.57,3.91,43.26,71.24,98.25,4.67,39.66,19.93,49.91,6.94
5,17.50,4.04,37.65,28.26,65.11,51.53,3.51,49.67,70.31,102.02,3.78,37.48,19.55,52.51,5.53
6,25.66,7.81,54.61,31.56,86.00,72.71,7.20,71.62,78.61,129.05,6.54,38.74,25.01,46.09,8.74
7,20.69,5.52,55.28,25.31,69.08,60.28,6.13,61.79,64.03,118.51,5.33,29.57,19.41,45.57,7.51
8,16.87,3.89,57.90,24.85,70.08,53.64,4.06,79.85,56.92,119.69,4.06,25.82,14.64,39.66,5.77
9,23.70,6.74,51.84,25.80,71.40,63.42,4.91,103.15,70.62,125.57,5.09,29.13,22.29,41.02,8.38
10,18.58,6.10,47.58,23.99,62.27,57.61,5.43,71.56,58.19,104.04,5.82,25.30,16.77,40.64,7.84
11,13.33,6.08,48.82,19.47,51.60,48.64,4.30,54.86,49.17,94.92,3.89,19.77,12.66,35.77,6.48
12,17.69,6.01,51.36,20.40,57.01,48.62,5.05,61.98,57.65,116.38,5.21,25.10,16.28,32.17,6.81
13,20.23,6.82,49.78,24.79,62.61,57.81,5.40,56.69,57.18,109.80,4.75,22.68,14.70,34.99,7.66
14,22.92,7.50,49.00,26.72,72.29,64.19,5.69,71.04,71.73,117.51,5.55,26.47,19.30,38.69,7.22
15,18.39,4.93,39.24,28.88,64.17,49.24,4.52,49.17,77.57,99.24,4.72,37.20,20.33,49.59,6.58
16,19.96,5.56,53.15,24.99,68.21,58.74,5.13,79.09,62.44,116.95,5.07,27.45,18.28,41.72,7.37
17,18.54,6.60,49.74,22.85,60.88,54.82,5.11,61.14,58.93,109.65,4.85,23.51,15.74,35.40,7.04
